Record Number,KHPI,LWJ,DLY,KLY,PDI,KJT,BVS,NRL,SHELU,VGI,BUD,ABH,ULNR,VLDI,KYN,DI,DW,MBQ,KLVA,TNA,MLND,BND,VK,GC,CLA,SION,MTN,DR,PR,BY,CSMT
49,,,,,,,,,,,,,,,,5210,,,,15144,,6516,,7466,3853,,,6531,,4890,4125
50,,,,,,,,,,,,,,,,5191,,,,15027,,,,13883,3825,,,6459,,,
51,,,,,,,,,,,,,,,,5174,,,,15044,2617,,,11285,3832,,,6492,,4855,4138
52,,,,,,,,,,,,,,,,5171,,,,15186,2747,,,11280,3831,,,6487,,4849,4132
53,,,,,,,,,,,,,,,,5184,,,,15034,2616,,,11280,3829,,,6486,,4850,4095
54,,,,,,,,,,,,,,,,5169,5773,,,9407,2707,,,11257,3829,,,6449,,4876,4238
55,,,,,,,,,,,,,,,,5191,,,,15049,2617,,7529,,7582,,,6489,,4859,4135
56,,,,,,,,,,,,,,,,,,,,,,,,13995,3823,,,6453,,,
57,,,,,,,,,,,,,,,,5170,5615,,,9392,,,,13805,3822,,,6551,,4845,4125
58,,,,,,,,,,,,,,,,5178,5617,,,9392,,6463,,7403,3822,,,6474,,4846,4125
59,,,,,,,,,,,,,,,,,,,,,2642,,,11391,3869,,,6555,,4807,4287
60,,,,,,,,,,,,,,,,5241,,,,15202,2648,,7598,3790,3869,,,6553,,4808,4279
61,,,,,,,,,,,,,,,,5245,5685,,,9517,,,,14036,3870,,,6553,,4913,4178
62,,,,,,,,,,,,,,,,5249,,,,15200,2646,,,11388,3870,,,6536,,,
