Record Number,PNVL,KNDS,MANR,KHAG,BEPR,SWDV,NEU,JNJ,SNPD,VSH,MNKD,GV,CMBR,TKNG,CLA,CHF,GTBN,VDLR,SVE,CTGN,RRD,DKRD,SNRDH,MSDH,CSMTH
54,0,3292,1925,2922,2346,2413,1411,2503,1880,1167,7497,2037,1645,1258,1248,1950,1677,2666,2051,1788,1041,1290,681,1116,1260
55,0,3290,1924,2919,2347,2413,1408,2502,1881,1165,7496,2038,1642,1256,1249,1948,1676,2665,2050,1790,1040,1290,681,1114,1262
56,,,,,,,,,,,,,,,,,,,2070,1790,1041,1279,682,1116,1259
57,,,,,,,,,,,,,,,,,,,2074,1788,1042,1288,680,1116,1259
58,0,3277,1906,2900,2329,2398,1398,2485,1863,1161,7437,2019,1629,1245,1239,1931,1663,2623,,,,,,,
59,0,3274,1910,2899,2330,2396,1400,2483,1867,1158,7438,2020,1629,1243,1240,1931,1662,2646,2033,1771,1031,1276,676,1104,1251
60,0,3271,1908,2900,2330,2394,1399,2486,1863,1159,7437,2019,1632,1242,1240,1930,1663,2646,2033,1772,1030,1277,678,1103,1247
61,0,3273,1907,2899,2330,2390,1401,2485,1863,1158,7436,2022,1628,1245,1237,1934,1662,2645,2034,1772,1029,1277,677,1102,1252
62,,,,,,,,,,,,,,,,,,,2034,1773,1029,1278,676,1104,1250
63,0,3275,1909,2899,2328,2398,1400,2485,1864,1156,7442,2017,1631,1244,1239,1930,1662,2645,2034,1771,1030,1277,677,1104,1250
64,,,,,,,,,,,,,,,,,,,2058,1773,1029,1278,676,1104,1248
65,,,,,,,,,,,,,,,,,,,2058,1772,1031,1277,676,1102,1251
66,0,3272,1908,2898,2332,2394,1401,2484,1861,1161,7440,2021,1629,1243,1238,1931,1664,2645,2033,1771,1032,1274,676,1103,1250
67,0,3272,1908,2897,2332,2397,1401,2483,1865,1160,7437,2022,1628,1244,1238,1931,1665,2643,2033,1771,1030,1277,675,1104,1251
68,,,,,,2394,1402,2483,1864,1162,7438,2019,1631,1243,1240,1929,1665,2620,,,,,,,
69,,,,,,2397,1399,2486,1864,1160,7439,2020,1630,1246,1238,1932,1663,2646,2033,1773,1031,1276,676,1104,1252
70,,,,,,,,,,,,,,,,,,,2056,1771,1032,1277,676,1103,1251
71,,,,,,,,,,,,,,,,,,,2032,1773,1032,1275,675,1107,1249
72,0,3271,1902,2904,2331,2393,1404,2483,1863,1161,7437,2021,1629,1244,1240,1932,1661,2647,2032,1774,1031,1274,680,1101,1247
73,,,,,,2401,1400,2485,1863,1160,7437,2020,1630,1243,1239,1932,1663,2644,2034,1771,1031,1278,676,1104,1247
74,,,,,,,,,,,,,,,,,,,2057,1773,1031,1276,677,1102,1251
75,0,3274,1909,2899,2328,2397,1398,2485,1863,1163,7435,2020,1630,1244,1238,1931,1665,2623,,,,,,,
76,0,3273,1908,2897,2331,2397,1399,2484,1864,1159,7439,2023,1627,1247,1238,1930,1663,2646,2034,1772,1030,1276,677,1104,1246
77,,,,,,2396,1401,2485,1864,1160,7440,2020,1630,1244,1239,1932,1663,2646,2033,1775,1030,1276,676,1103,1249
78,0,3278,1907,2899,2330,2397,1399,2484,1864,1160,7439,2021,1628,1245,1238,1932,1662,2626,,,,,,,
79,,,,,,,,,,,,,,,,,,,2058,1772,1032,1276,677,1104,1249
80,,,,,,,,,,,7432,2020,1629,1244,1240,1931,1663,2644,2031,1774,1030,1276,676,1103,1251
81,0,3277,1907,2898,2329,2399,1399,2483,1865,1159,7436,2018,1631,1244,1237,1931,1662,2647,2033,1771,1031,1276,678,1104,1245
82,0,3271,1909,2897,2336,2397,1402,2483,1867,1161,7438,2018,1631,1243,1238,1931,1665,2644,2034,1771,1032,1274,680,1102,1248
83,0,3275,1908,2899,2331,2395,1400,2482,1864,1161,7438,2020,1629,1246,1238,1932,1664,2645,2035,1772,1030,1278,676,1103,1247
84,,,,,,,,,,,,,,,,,,,2066,1779,1035,1282,681,1106,1253
85,0,3281,1916,2905,2340,2401,1404,2493,1872,1165,7465,2026,1637,1249,1243,1944,1665,2657,2041,1778,1035,1282,681,1105,1257
86,0,3281,1917,2906,2339,2403,1403,2494,1870,1164,7461,2028,1636,1251,1244,1938,1668,2657,2041,1778,1036,1281,680,1109,1253
87,,,,,,2411,1404,2494,1870,1163,7453,2028,1638,1250,1245,1937,1669,2656,2043,1777,1036,1282,678,1110,1252
88,,,,,,,,,,,7427,2023,1632,1246,1240,1937,1666,2646,2034,1775,1031,1275,678,1106,1255
89,,,,,,,,,,,,,,,,,,,2061,1772,1034,1278,677,1106,1251
90,,,,,,,,,,,,,,,,,,,2060,1773,1033,1278,680,1105,1250
91,,,,,,,,,,,,,,,,,,,2061,1774,1031,1277,680,1104,1252
92,,,,,,,,,,,7431,2023,1633,1248,1239,1933,1666,2648,2036,1772,1032,1278,678,1105,1252
93,,,,2310,2333,2398,1401,2488,1868,1160,7448,2025,1635,1247,1241,1937,1665,2645,2036,1777,1035,1278,679,1106,1253
94,,,,,,2401,1402,2488,1864,1162,7447,2024,1634,1247,1243,1934,1667,2648,2036,1779,1033,1278,677,1108,1250
95,,,,,,,,,,,,,,,,,,,2062,1776,1033,1278,680,1107,1251
96,,,,,,,,,,,7446,2024,1634,1248,1240,1937,1665,2651,2038,1777,1034,1278,678,1107,1251
97,,,,,,,,,,,,,,,,,,,2060,1777,1035,1280,678,1106,1249
98,,,,,,,,,,,,,,,,,,,2062,1776,1035,1279,679,1106,1253
99,,,,,,,,,,,,,,,,,,,2063,1776,1033,1279,677,1108,1255
100,0,3276,1910,2904,2334,2399,1408,2491,1865,1165,7451,2023,1632,1247,1240,1941,1666,2627,,,,,,,
101,0,3277,1911,2902,2334,2403,1402,2488,1868,1164,7448,2025,1632,1247,1241,1936,1666,2629,,,,,,,
102,,,,,,,,,,,7445,2024,1630,1249,1241,1937,1666,2630,,,,,,,
103,0,3279,1910,2905,2334,2402,1402,2488,1869,1163,7452,2021,1634,1247,1242,1937,1666,2630,,,,,,,
104,,,,,,,,,,,,,,,,,,,2037,1775,1033,1280,678,1107,1253
105,,,,,,,,,,,7452,2024,1632,1249,1241,1936,1666,2631,,,,,,,
106,0,3279,1912,2905,2335,2400,1403,2490,1869,1162,7435,2024,1633,1248,1240,1937,1667,2628,,,,,,,
107,,,,,,2408,1402,2490,1868,1162,7450,2024,1634,1248,1241,1938,1664,2652,2037,1774,1036,1279,680,1105,1251
108,0,3285,1886,2905,2334,2401,1402,2488,1869,1162,7450,2024,1632,1249,1243,1936,1664,2651,2038,1776,1033,1279,679,1107,1252
109,0,3279,1912,2905,2334,2400,1403,2489,1866,1165,7449,2024,1635,1244,1244,1935,1667,2629,,,,,,,
110,0,3277,1910,2906,2334,2399,1402,2489,1869,1163,7450,2023,1633,1248,1242,1934,1667,2651,2040,1774,1032,1280,679,1106,1252
111,,,,,,,,,,,7449,2023,1633,1246,1243,1935,1667,2651,2037,1775,1034,1281,678,1107,1254
112,0,3283,1912,2905,2336,2398,1404,2489,1868,1164,7449,2024,1635,1247,1242,1935,1668,2649,2038,1776,1034,1280,680,1106,1255
113,0,3278,1912,2904,2335,2401,1402,2488,1870,1163,7451,2024,1631,1251,1241,1936,1667,2654,2038,1773,1036,1280,679,1108,1255
114,,,,,,,,,,,,,,,,,,,2062,1775,1035,1281,676,1107,1253
115,,,,,,2410,1402,2489,1869,1161,7454,2026,1636,1244,1245,1935,1666,2654,2037,1774,1035,1279,680,1107,1251
116,,,,,,,,,,,7451,2025,1634,1246,1244,1937,1664,2651,2042,1774,1034,1281,679,1103,1253
117,,,,,,,,,,,7450,2026,1633,1248,1244,1935,1666,2654,2039,1776,1034,1281,679,1106,1251
118,0,3276,1912,2903,2334,2401,1403,2487,1869,1163,7452,2026,1634,1246,1242,1934,1666,2653,2036,1778,1033,1280,679,1105,1252
119,,,,,,,1401,2488,1868,1165,7451,2024,1633,1251,1240,1939,1666,2630,,,,,,,
120,0,3280,1912,2904,2334,2400,1404,2488,1868,1163,7454,2027,1633,1245,1243,1937,1666,2653,2038,1776,1034,1281,676,1108,1255
121,,,,,,,,,,,7446,2025,1634,1248,1242,1936,1666,2652,2038,1776,1034,1280,679,1106,1255
