Train Number,Train Code,Halts
S 29,"95125
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
BL 33,"95233
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
A 35,"95319
","CSMT, BY, PR, DR, MTN, CLA, VK, TNA, DI, KYN"
K 87,"95723
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
AN 19,"95509
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
S 31,"95127
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
BL 35,"95235
","CSMT, BY, DR, CLA, GC, TNA, DW, DI, KYN"
N 25,"95415
","CSMT, BY, DR, CLA, GC, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
A 39,"95321
","CSMT, DR, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
DK 3,"95725
","DR, CLA, GC, MLND, TNA, DI, KYN"
AN 21,"95511
","CSMT, BY, DR, CLA, GC, TNA, DW, DI, KYN"
BL 37,"95237
","CSMT, BY, DR, CLA, VK, TNA, DI, KYN"
K 95,"95727
","CSMT, BY, DR, CLA, GC, MLND, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
TL 41,"95613
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
KP 9,"95009
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
DL 35,"95803
","CSMT, BY, DR, CLA, GC, BND, TNA, KLVA, MBQ, DW, KOPR, DI"
A 41,"95323
","CSMT, BY, DR, CLA, VK, MLND, TNA, DI, KYN"
AN 23,"95513
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
DK 5,"95729
","DR, CLA, GC, MLND, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
TL 43,95615 ,"CSMT, BY, DR, CLA, GC, TNA, DW, DI, KYN"
BL 39,95239 ,"CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
K 101,95731 ,"CSMT, DR, CLA, VK, MLND, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
A 43,"95325
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
T 99,"95911
","CSMT, DR, CLA, BND, MLND, TNA"
S 33,"95129
","CSMT, BY, DR, CLA, GC, TNA, DW, DI, KYN"
A 45,95327 ,"CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
N 27,95417 ,"CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
AN 25,95515 ,"CSMT, BY, DR, CLA, VK, TNA, DI, KYN"
K 107,95733 ,"CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
