Train,TrainCode,Type,Route,Direction,FromExpected,ToExpected,Notes
BL13,95213,2,SE,DN,CSMT,BUD,
T39,97337,1,MAIN,DN,CSMT,TNA,
A13,95307,2,SE,DN,CSMT,ABH,
TL17,96619,1,NE,DN,CSMT,TLA,
G5,97505,1,MAIN,DN,CSMT,GC,
S17,95113,2,SE,DN,CSMT,KJT,
C15,97615,1,MAIN,DN,CSMT,CLA,
K37,95713,2,MAIN,DN,CSMT,KYN,
K39,97053,1,MAIN,DN,CSMT,KYN,
BL15,95215,2,SE,DN,CSMT,BUD,
T41,97339,1,MAIN,DN,CSMT,TNA,
A15,95309,2,SE,DN,CSMT,ABH,
K41,97055,1,MAIN,DN,CSMT,KYN,
N13,95407,2,NE,DN,CSMT,KSRA,
T43,97341,1,MAIN,DN,CSMT,TNA,
BL17,95217,2,SE,DN,CSMT,BUD,
DL11,97217,1,MAIN,DN,CSMT,DI,
A17,95311,2,SE,DN,CSMT,ABH,
PK9,97057,1,MAIN,DN,PR,KYN,
DK1,95715,2,MAIN,DN,DR,KYN,
T45,97343,1,MAIN,DN,CSMT,TNA,
C17,97617,1,MAIN,DN,CSMT,CLA,
DL13,97219,1,MAIN,DN,CSMT,DI,
S19,95115,2,SE,DN,CSMT,KJT,
T47,97345,1,MAIN,DN,CSMT,TNA,
BL19,95219,2,SE,DN,CSMT,BUD,
C19,97619,1,MAIN,DN,CSMT,CLA,
K43,97059,1,MAIN,DN,CSMT,KYN,
TL19,95607,2,NE,DN,CSMT,TLA,
T49,97347,1,MAIN,DN,CSMT,TNA,
A19,95313,2,SE,DN,CSMT,ABH,
DBL1,95221,2,SE,DN,DR,BUD,
TAN3,96513,1,NE,DN,TNA,ASO,
PK11,97061,1,MAIN,DN,PR,KYN,
T51,97349,1,MAIN,DN,CSMT,TNA,
TL21,95609,2,NE,DN,CSMT,TLA,
C21,97621,1,MAIN,DN,CSMT,CLA,
TL23,96621,1,NE,DN,CSMT,TLA,
T53,97351,1,MAIN,DN,CSMT,TNA,
C23,97623,1,MAIN,DN,CSMT,CLA,
S21,95117,2,SE,DN,CSMT,KJT,
TS5,96109,1,SE,DN,TNA,KJT,
T55,97353,1,MAIN,DN,CSMT,TNA,
A21,95315,2,SE,DN,CSMT,ABH,
K45,97063,1,MAIN,DN,CSMT,KYN,
TL25,96623,1,NE,DN,CSMT,TLA,
PK13,97065,1,MAIN,DN,PR,KYN,
DL15,97221,1,MAIN,DN,CSMT,DI,
CK15,97067,1,MAIN,DN,CLA,KYN,
DL17,95801,2,MAIN,DN,CSMT,DI,
T57,97355,1,MAIN,DN,CSMT,TNA,
A23,96311,1,SE,DN,CSMT,ABH,
N15,95409,2,NE,DN,CSMT,KSRA,
T59,97357,1,MAIN,DN,CSMT,TNA,
BL21,95223,2,SE,DN,CSMT,BUD,
K47,97069,1,MAIN,DN,CSMT,KYN,
TL27,96625,1,NE,DN,CSMT,TLA,
A25,96313,1,SE,DN,CSMT,ABH,
PDL3,97223,1,MAIN,DN,PR,DI,
K49,97071,1,MAIN,DN,CSMT,KYN,
DBL3,95225,2,SE,DN,DR,BUD,
TBL1,96203,1,SE,DN,TNA,BUD,
K51,97073,1,MAIN,DN,CSMT,KYN,
PDL5,97225,1,MAIN,DN,PR,DI,
KP5,95005,2,SE,DN,CSMT,KHPI,
T61,97359,1,MAIN,DN,CSMT,TNA,
K53,95717,2,MAIN,DN,CSMT,KYN,
K55,97075,1,MAIN,DN,CSMT,KYN,
N17,95411,2,NE,DN,CSMT,KSRA,
K57,97077,1,MAIN,DN,CSMT,KYN,
DL19,97227,1,MAIN,DN,CSMT,DI,
TL29,96627,1,NE,DN,CSMT,TLA,
A27,96315,1,SE,DN,CSMT,ABH,
K59,97079,1,MAIN,DN,CSMT,KYN,
PK15,97081,1,MAIN,DN,PR,KYN,
K61,95719,2,MAIN,DN,CSMT,KYN,
DA3,95317,2,SE,DN,DR,ABH,
T63,97361,1,MAIN,DN,CSMT,TNA,
K63,97083,1,MAIN,DN,CSMT,KYN,
TTL7,96629,1,NE,DN,TNA,TLA,
T65,97363,1,MAIN,DN,CSMT,TNA,
N19,96407,1,NE,DN,CSMT,KSRA,
AN11,95505,2,NE,DN,CSMT,ASO,
A29,96317,1,SE,DN,CSMT,ABH,
S23,95119,2,SE,DN,CSMT,KJT,
BL23,95227,2,SE,DN,CSMT,BUD,
PDL7,97229,1,MAIN,DN,PR,DI,
K65,97085,1,MAIN,DN,CSMT,KYN,
AN13,96515,1,NE,DN,CSMT,ASO,
T67,97365,1,MAIN,DN,CSMT,TNA,
S25,95121,2,SE,DN,CSMT,KJT,
TK7,97087,1,MAIN,DN,TNA,KYN,
TL31,96631,1,NE,DN,CSMT,TLA,
K67,97089,1,MAIN,DN,CSMT,KYN,
BL25,95229,2,SE,DN,CSMT,BUD,
BL27,96205,1,SE,DN,CSMT,BUD,
DL21,97231,1,MAIN,DN,CSMT,DI,
T69,97367,1,MAIN,DN,CSMT,TNA,
DT1,95909,2,MAIN,DN,CSMT,TNA,
CK17,97091,1,MAIN,DN,CLA,KYN,
TL33,96633,1,NE,DN,CSMT,TLA,
K69,97093,1,MAIN,DN,CSMT,KYN,
BL29,96207,1,SE,DN,CSMT,BUD,
N21,95413,2,NE,DN,CSMT,KSRA,
K71,97095,1,MAIN,DN,CSMT,KYN,
K73,97097,1,MAIN,DN,CSMT,KYN,
T71,97369,1,MAIN,DN,CSMT,TNA,
A31,96319,1,SE,DN,CSMT,ABH,
K75,97099,1,MAIN,DN,CSMT,KYN,
AN15,95507,2,NE,DN,CSMT,ASO,
S27,95123,2,SE,DN,CSMT,KJT,
PK17,97101,1,MAIN,DN,PR,KYN,
N23,96409,1,NE,DN,CSMT,KSRA,
A33,96321,1,SE,DN,CSMT,ABH,
K77,97103,1,MAIN,DN,CSMT,KYN,
T73,97371,1,MAIN,DN,CSMT,TNA,
BL31,95231,2,SE,DN,CSMT,BUD,
TBL3,96209,1,SE,DN,TNA,BUD,
PK19,97105,1,MAIN,DN,PR,KYN,
TL35,96635,1,NE,DN,CSMT,TLA,
KP7,95007,2,SE,DN,CSMT,KHPI,
DL23,97233,1,MAIN,DN,CSMT,DI,
K79,95721,2,MAIN,DN,CSMT,KYN,
DTL1,95611,2,NE,DN,DR,TLA,
K81,97107,1,MAIN,DN,CSMT,KYN,
DL25,97235,1,MAIN,DN,CSMT,DI,
T75,97373,1,MAIN,DN,CSMT,TNA,
AN17,96517,1,NE,DN,CSMT,ASO,
S29,95125,2,SE,DN,CSMT,KJT,
PK21,97109,1,MAIN,DN,PR,KYN,
BL33,95233,2,SE,DN,CSMT,BUD,
TL37,96637,1,NE,DN,CSMT,TLA,
DL27,97237,1,MAIN,DN,CSMT,DI,
KW1,97111,1,MAIN,DN,CSMT,KYN,
PT5,97375,1,MAIN,DN,PR,TNA,
TA1,96323,1,SE,DN,CSMT,ABH,
K83,97113,1,MAIN,DN,CSMT,KYN,
DL29,97239,1,MAIN,DN,CSMT,DI,
A35,95319,2,SE,DN,CSMT,ABH,
K85,97115,1,MAIN,DN,CSMT,KYN,
T77,97377,1,MAIN,DN,CSMT,TNA,
K87,95723,2,MAIN,DN,CSMT,KYN,
A37,96325,1,SE,DN,CSMT,ABH,
AN19,95509,2,NE,DN,CSMT,ASO,
T79,97379,1,MAIN,DN,CSMT,TNA,
TL39,96639,1,NE,DN,CSMT,TLA,
S31,95127,2,SE,DN,CSMT,KJT,
CK19,97117,1,MAIN,DN,CLA,KYN,
TK9,97119,1,MAIN,DN,TNA,KYN,
T81,97381,1,MAIN,DN,CSMT,TNA,
DL31,97241,1,MAIN,DN,CSMT,DI,
T83,97383,1,MAIN,DN,CSMT,TNA,
C25,97625,1,MAIN,DN,CSMT,CLA,
CK21,97121,1,MAIN,DN,CLA,KYN,
BL35,95235,2,SE,DN,CSMT,BUD,
K89,97123,1,MAIN,DN,CSMT,KYN,
N25,95415,2,NE,DN,CSMT,KSRA,
T85,97385,1,MAIN,DN,CSMT,TNA,
A39,95321,2,SE,DN,CSMT,ABH,
TS7,96111,1,SE,DN,TNA,KJT,
PDL9,97243,1,MAIN,DN,PR,DI,
CK23,97125,1,MAIN,DN,CLA,KYN,
K91,97127,1,MAIN,DN,CSMT,KYN,
T87,97387,1,MAIN,DN,CSMT,TNA,
DL33,97245,1,MAIN,DN,CSMT,DI,
T89,97389,1,MAIN,DN,CSMT,TNA,
DK3,95725,2,MAIN,DN,DR,KYN,
K93,97129,1,MAIN,DN,CSMT,KYN,
AN21,95511,2,NE,DN,CSMT,ASO,
BL37,95237,2,SE,DN,CSMT,BUD,
PK23,97131,1,MAIN,DN,PR,KYN,
T91,97391,1,MAIN,DN,CSMT,TNA,
K95,95727,2,MAIN,DN,CSMT,KYN,
C27,97627,1,MAIN,DN,CSMT,CLA,
CK25,97133,1,MAIN,DN,CLA,KYN,
TL41,95613,2,NE,DN,CSMT,TLA,
T93,97393,1,MAIN,DN,CSMT,TNA,
KP9,95009,2,SE,DN,CSMT,KHPI,
K97,97135,1,MAIN,DN,CSMT,KYN,
DL35,95803,2,MAIN,DN,CSMT,DI,
A41,95323,2,SE,DN,CSMT,ABH,
PDL11,97247,1,MAIN,DN,PR,DI,
C29,97629,1,MAIN,DN,CSMT,CLA,
AN23,95513,2,NE,DN,CSMT,ASO,
DK5,95729,2,MAIN,DN,DR,KYN,
CK27,97137,1,MAIN,DN,CLA,KYN,
T95,97395,1,MAIN,DN,CSMT,TNA,
K99,97139,1,MAIN,DN,CSMT,KYN,
TL43,95615,2,NE,DN,CSMT,TLA,
TBL5,96211,1,SE,DN,TNA,BUD,
DL37,97249,1,MAIN,DN,CSMT,DI,
BL39,95239,2,SE,DN,CSMT,BUD,
K101,95731,2,MAIN,DN,CSMT,KYN,
PK25,97141,1,MAIN,DN,PR,KYN,
T97,97397,1,MAIN,DN,CSMT,TNA,
A43,95325,2,SE,DN,CSMT,ABH,
K103,97143,1,MAIN,DN,CSMT,KYN,
T99,95911,2,MAIN,DN,CSMT,TNA,
K105,97145,1,MAIN,DN,CSMT,KYN,
DL39,97251,1,MAIN,DN,CSMT,DI,
S33,95129,2,SE,DN,CSMT,KJT,
C31,97631,1,MAIN,DN,CSMT,CLA,
A45,95327,2,SE,DN,CSMT,ABH,
TK11,97147,1,MAIN,DN,TNA,KYN,
T101,97399,1,MAIN,DN,CSMT,TNA,
PK27,97149,1,MAIN,DN,PR,KYN,
N27,95417,2,NE,DN,CSMT,KSRA,
AN25,95515,2,NE,DN,CSMT,ASO,
A47,96327,1,SE,DN,CSMT,ABH,
K107,95733,2,MAIN,DN,CSMT,KYN,
T103,97401,1,MAIN,DN,CSMT,TNA,
TL45,95617,2,NE,DN,CSMT,TLA,
DL41,97253,1,MAIN,DN,CSMT,DI,
BL41,95241,2,SE,DN,CSMT,BUD,
T105,97403,1,MAIN,DN,CSMT,TNA,
K109,95735,2,MAIN,DN,CSMT,KYN,
C33,97633,1,MAIN,DN,CSMT,CLA,
S35,95131,2,SE,DN,CSMT,KJT,
TL47,95619,2,NE,DN,CSMT,TLA,
DK7,95737,2,MAIN,DN,DR,KYN,
TBL7,96213,1,SE,DN,TNA,BUD,
PK29,97151,1,MAIN,DN,PR,KYN,
T107,97405,1,MAIN,DN,CSMT,TNA,
T109,95913,2,MAIN,DN,CSMT,TNA,
K111,97153,1,MAIN,DN,CSMT,KYN,
DL43,97255,1,MAIN,DN,CSMT,DI,
TS9,96113,1,SE,DN,TNA,KJT,
PT7,97407,1,MAIN,DN,PR,TNA,
BL43,95243,2,SE,DN,CSMT,BUD,
K113,97155,1,MAIN,DN,CSMT,KYN,
N29,95419,2,NE,DN,CSMT,KSRA,
K115,97157,1,MAIN,DN,CSMT,KYN,
T111,97409,1,MAIN,DN,CSMT,TNA,
BL45,95245,2,SE,DN,CSMT,BUD,
DA5,95329,2,SE,DN,DR,ABH,
K117,95739,2,MAIN,DN,CSMT,KYN,
TL49,95621,2,NE,DN,CSMT,TLA,
CK29,97159,1,MAIN,DN,CLA,KYN,
PDL13,97257,1,MAIN,DN,PR,DI,
TA3,96329,1,SE,DN,CSMT,ABH,
BL47,96215,1,SE,DN,CSMT,BUD,
K119,97161,1,MAIN,DN,CSMT,KYN,
A49,95331,2,SE,DN,CSMT,ABH,
PT9,97411,1,MAIN,DN,PR,TNA,
T113,97413,1,MAIN,DN,CSMT,TNA,
TL51,95623,2,NE,DN,CSMT,TLA,
S37,95133,2,SE,DN,CSMT,KJT,
BL49,96217,1,SE,DN,CSMT,BUD,
T115,97415,1,MAIN,DN,CSMT,TNA,
AN27,95517,2,NE,DN,CSMT,ASO,
K121,97163,1,MAIN,DN,CSMT,KYN,
TL53,96641,1,NE,DN,CSMT,TLA,
T117,97417,1,MAIN,DN,CSMT,TNA,
A51,96331,1,SE,DN,CSMT,ABH,
PK31,97165,1,MAIN,DN,PR,KYN,
DL45,97259,1,MAIN,DN,CSMT,DI,
K123,97167,1,MAIN,DN,CSMT,KYN,
DT3,95915,2,MAIN,DN,CSMT,TNA,
TL55,96643,1,NE,DN,CSMT,TLA,
T119,97419,1,MAIN,DN,CSMT,TNA,
TBL9,96219,1,SE,DN,TNA,BUD,
A53,96333,1,SE,DN,CSMT,ABH,
C35,97635,1,MAIN,DN,CSMT,CLA,
PK33,97169,1,MAIN,DN,PR,KYN,
KP11,95011,2,SE,DN,CSMT,KHPI,
N31,95421,2,NE,DN,CSMT,KSRA,
A55,95333,2,SE,DN,CSMT,ABH,
DL47,97261,1,MAIN,DN,CSMT,DI,
T121,97421,1,MAIN,DN,CSMT,TNA,
AN29,96519,1,NE,DN,CSMT,ASO,
K125,97171,1,MAIN,DN,CSMT,KYN,
T123,97423,1,MAIN,DN,CSMT,TNA,
BL51,96221,1,SE,DN,CSMT,BUD,
DL49,97263,1,MAIN,DN,CSMT,DI,
K127,97173,1,MAIN,DN,CSMT,KYN,
TL57,96645,1,NE,DN,CSMT,TLA,
S39,95135,2,SE,DN,CSMT,KJT,
PK35,97175,1,MAIN,DN,PR,KYN,
BL53,96223,1,SE,DN,CSMT,BUD,
N33,96411,1,NE,DN,CSMT,KSRA,
C37,97637,1,MAIN,DN,CSMT,CLA,
A57,96335,1,SE,DN,CSMT,ABH,
K129,95741,2,MAIN,DN,CSMT,KYN,
BL55,96225,1,SE,DN,CSMT,BUD,
PK37,97177,1,MAIN,DN,PR,KYN,
K131,97179,1,MAIN,DN,CSMT,KYN,
CK31,97181,1,MAIN,DN,CLA,KYN,
C39,97639,1,MAIN,DN,CSMT,CLA,
KP13,95013,2,SE,DN,CSMT,KHPI,
TL59,96647,1,NE,DN,CSMT,TLA,
DK9,95743,2,MAIN,DN,DR,KYN,
K133,97183,1,MAIN,DN,CSMT,KYN,
T125,97425,1,MAIN,DN,CSMT,TNA,
K135,97185,1,MAIN,DN,CSMT,KYN,
T127,97427,1,MAIN,DN,CSMT,TNA,
K137,97187,1,MAIN,DN,CSMT,KYN,
BL57,95247,2,SE,DN,CSMT,BUD,
KP15,96019,1,SE,DN,CSMT,KHPI,
C41,97641,1,MAIN,DN,CSMT,CLA,
PA1,96337,1,SE,DN,PR,ABH,
T129,97429,1,MAIN,DN,CSMT,TNA,
BL59,96227,1,SE,DN,CSMT,BUD,
T131,97431,1,MAIN,DN,CSMT,TNA,
N35,95423,2,NE,DN,CSMT,KSRA,
TL61,96649,1,NE,DN,CSMT,TLA,
C43,97643,1,MAIN,DN,CSMT,CLA,
PA3,96339,1,SE,DN,PR,ABH,
T133,97433,1,MAIN,DN,CSMT,TNA,
C45,97645,1,MAIN,DN,CSMT,CLA,
A59,95335,2,SE,DN,CSMT,ABH,
T135,97435,1,MAIN,DN,CSMT,TNA,
TL63,96651,1,NE,DN,CSMT,TLA,
KP17,95015,2,SE,DN,CSMT,KHPI,
C47,97647,1,MAIN,DN,CSMT,CLA,
S41,96115,1,SE,DN,CSMT,KJT,
C49,97649,1,MAIN,DN,CSMT,CLA,
T137,97437,1,MAIN,DN,CSMT,TNA,
TL65,96653,1,NE,DN,CSMT,TLA,
T139,97439,1,MAIN,DN,CSMT,TNA,
BL61,96229,1,SE,DN,CSMT,BUD,
T141,97441,1,MAIN,DN,CSMT,TNA,
C51,97651,1,MAIN,DN,CSMT,CLA,
S2,96102,1,SE,UP,KJT,CSMT,
T2,97302,1,MAIN,UP,TNA,CSMT,
C2,97602,1,MAIN,UP,CLA,CSMT,
T4,97304,1,MAIN,UP,TNA,CSMT,
C4,97604,1,MAIN,UP,CLA,CSMT,
A2,96302,1,SE,UP,ABH,CSMT,
T6,97306,1,MAIN,UP,TNA,CSMT,
TL2,96602,1,NE,UP,TLA,CSMT,
T8,97308,1,MAIN,UP,TNA,CSMT,
A4,96304,1,SE,UP,ABH,CSMT,
T10,95902,2,MAIN,UP,TNA,CSMT,
S4,96104,1,SE,UP,KJT,CSMT,
K2,97002,1,MAIN,UP,KYN,CSMT,
TL4,96604,1,NE,UP,TLA,CSMT,
T12,97310,1,MAIN,UP,TNA,CSMT,
N2,96402,1,NE,UP,KSRA,CSMT,
T14,97312,1,MAIN,UP,TNA,CSMT,
A6,96306,1,SE,UP,ABH,CSMT,
KW2,97004,1,MAIN,UP,KYN,CSMT,
T16,97314,1,MAIN,UP,TNA,CSMT,
S6,96106,1,SE,UP,KJT,CSMT,
S8,95102,2,SE,UP,KJT,CSMT,
TL6,96606,1,NE,UP,TLA,CSMT,
A8,96308,1,SE,UP,ABH,CSMT,
K4,97006,1,MAIN,UP,KYN,CSMT,
K6,97008,1,MAIN,UP,KYN,CSMT,
DL4,95802,2,MAIN,UP,DI,CSMT,
DL2,97202,1,MAIN,UP,DI,CSMT,
KP2,95002,2,SE,UP,KHPI,CSMT,
TL8,96608,1,NE,UP,TLA,CSMT,
T18,97316,1,MAIN,UP,TNA,CSMT,
BL2,96202,1,SE,UP,BUD,CSMT,
K8,97010,1,MAIN,UP,KYN,CSMT,
N4,96404,1,NE,UP,KSRA,CSMT,
K12,95702,2,MAIN,UP,KYN,CSMT,
K10,97012,1,MAIN,UP,KYN,CSMT,
S10,95104,2,SE,UP,KJT,CSMT,
T20,97318,1,MAIN,UP,TNA,CSMT,
A10,96310,1,SE,UP,ABH,CSMT,
TL10,96610,1,NE,UP,TLA,CSMT,
T22,97320,1,MAIN,UP,TNA,CSMT,
BL4,96204,1,SE,UP,BUD,CSMT,
C6,97606,1,MAIN,UP,CLA,CSMT,
K14,97014,1,MAIN,UP,KYN,CSMT,
BL8,95202,2,SE,UP,BUD,CSMT,
PK2,97016,1,MAIN,UP,KYN,PR,
AN2,96502,1,NE,UP,ASO,CSMT,
PK4,97018,1,MAIN,UP,KYN,PR,
N6,95402,2,NE,UP,KSRA,CSMT,
K18,95704,2,MAIN,UP,KYN,CSMT,
S12,95106,2,SE,UP,KJT,CSMT,
TL12,96612,1,NE,UP,TLA,CSMT,
BL6,96206,1,SE,UP,BUD,CSMT,
A12,95302,2,SE,UP,ABH,CSMT,
PK6,97020,1,MAIN,UP,KYN,PR,
KP4,95004,2,SE,UP,KHPI,CSMT,
T24,97322,1,MAIN,UP,TNA,CSMT,
K16,97022,1,MAIN,UP,KYN,CSMT,
TL14,95602,2,NE,UP,TLA,CSMT,
DL6,97204,1,MAIN,UP,DI,CSMT,
DK2,95706,2,MAIN,UP,KYN,DR,
T28,95904,2,MAIN,UP,TNA,CSMT,
K20,97024,1,MAIN,UP,KYN,CSMT,
A14,95304,2,SE,UP,ABH,CSMT,
T26,97324,1,MAIN,UP,TNA,CSMT,
S14,95108,2,SE,UP,KJT,CSMT,
K24,95708,2,MAIN,UP,KYN,CSMT,
K22,97026,1,MAIN,UP,KYN,CSMT,
T32,95906,2,MAIN,UP,TNA,CSMT,
DL8,97206,1,MAIN,UP,DI,CSMT,
A16,95306,2,SE,UP,ABH,CSMT,
AN6,95502,2,NE,UP,ASO,CSMT,
T30,97326,1,MAIN,UP,TNA,CSMT,
S16,95110,2,SE,UP,KJT,CSMT,
AN4,96504,1,NE,UP,ASO,CSMT,
PK8,97028,1,MAIN,UP,KYN,PR,
N8,95404,2,NE,UP,KSRA,CSMT,
DL10,95804,2,MAIN,UP,DI,CSMT,
T34,97328,1,MAIN,UP,TNA,CSMT,
A18,95308,2,SE,UP,ABH,CSMT,
K26,97030,1,MAIN,UP,KYN,CSMT,
K30,95710,2,MAIN,UP,KYN,CSMT,
TL16,96614,1,NE,UP,TLA,CSMT,
BL10,95204,2,SE,UP,BUD,CSMT,
T36,97330,1,MAIN,UP,TNA,CSMT,
K34,95712,2,MAIN,UP,KYN,CSMT,
K28,97032,1,MAIN,UP,KYN,CSMT,
N10,95406,2,NE,UP,KSRA,CSMT,
C8,97608,1,MAIN,UP,CLA,CSMT,
A20,95310,2,SE,UP,ABH,CSMT,
T38,97332,1,MAIN,UP,TNA,CSMT,
TBL2,96208,1,SE,UP,BUD,TNA,
T42,95908,2,MAIN,UP,TNA,CSMT,
K32,97034,1,MAIN,UP,KYN,CSMT,
S18,95112,2,SE,UP,KJT,CSMT,
G2,97502,1,MAIN,UP,GC,CSMT,
PTL2,96616,1,NE,UP,TLA,PR,
K38,95714,2,MAIN,UP,KYN,CSMT,
T40,97334,1,MAIN,UP,TNA,CSMT,
K36,95716,2,MAIN,UP,KYN,CSMT,
DL12,97208,1,MAIN,UP,DI,CSMT,
TK2,97036,1,MAIN,UP,KYN,TNA,
T44,97336,1,MAIN,UP,TNA,CSMT,
